nombre,clasificac,ubicacion,barrio,comuna,area,perimeter,Score,Reviews,Descripcion,Direccion,CLASE
,CANTERO CENTRAL,"ALEM, LEANDRO N., AV.  E/ VIAMONTE Y CORDOBA, AV.",SAN NICOLAS,1.0,133.9,10.0,,,,,
,CANTERO CENTRAL,"VERA PEÑALOZA, ROSARIO, BOULEVARD E/CALABRIA Y DEALESSI, PIERINA",PUERTO MADERO,1.0,669.875,0.0,,,,,
,CANTERO CENTRAL,"VERA PEÑALOZA, ROSARIO, BOULEVARD E/CALABRIA Y DEALESSI, PIERINA",PUERTO MADERO,1.0,672.653,20.0,,,,,
,CANTERO CENTRAL,"VERA PEÑALOZA, ROSARIO, BOULEVARD E/CALABRIA Y DEALESSI, PIERINA",PUERTO MADERO,1.0,764.413,10.0,,,,,
,CANTERO CENTRAL,"VERA PEÑALOZA, ROSARIO, BOULEVARD E/CALABRIA Y DEALESSI, PIERINA",PUERTO MADERO,1.0,792.0930000000002,9960.0,,,,,
,CANTERO CENTRAL,"VERA PEÑALOZA, ROSARIO, BOULEVARD E/CALABRIA Y DEALESSI, PIERINA",PUERTO MADERO,1.0,672.092,9980.0,,,,,
,CANTERO CENTRAL,"VERA PEÑALOZA, ROSARIO, BOULEVARD E/CALABRIA Y DEALESSI, PIERINA",PUERTO MADERO,1.0,670.9789999999998,40.0,,,,,
,CANTERO CENTRAL,"VILLAFLOR, AZUCENA, BOULEVARD E/DE LOS ITALIANOS, AV. Y DEALESSI, PIERINA",PUERTO MADERO,1.0,2396.827,0.0,,,,,
,CANTERO CENTRAL,"VILLAFLOR, AZUCENA, BOULEVARD E/DE LOS ITALIANOS, AV. Y DEALESSI, PIERINA",PUERTO MADERO,1.0,1472.683,0.0,,,,,
,CANTERO CENTRAL,"VILLAFLOR, AZUCENA, BOULEVARD E/DE LOS ITALIANOS, AV. Y DEALESSI, PIERINA",PUERTO MADERO,1.0,1754.352,100.0,,,,,
,CANTERO CENTRAL,"VILLAFLOR, AZUCENA, BOULEVARD E/DE LOS ITALIANOS, AV. Y DEALESSI, PIERINA",PUERTO MADERO,1.0,403.117,20.0,,,,,
,PLAZA,"MANSO, JUANA - LORENZINI, CAROLA - DEALESSI, PIERINA",PUERTO MADERO,1.0,2833.071,0.0,,,,,
