nombre,clasificac,ubicacion,barrio,comuna,area,perimeter
,CANTERO CENTRAL,"RABANAL, FRANCISCO, INT., AV. (EX ROCA, CNEL., AV.) E/ CHARRUA Y VARELA",VILLA SOLDATI,8.0,3.239,0.0
,CANTERO CENTRAL,"RABANAL, FRANCISCO, INT., AV. (EX ROCA, CNEL., AV.) E/ CHARRUA Y VARELA",VILLA SOLDATI,8.0,4.667,0.0
ARMANDO TEJADA GOMEZ,CANTERO CENTRAL,"RABANAL, FRANCISCO, INT., AV. (EX ROCA, CNEL., AV.) E/ CARLOS BERG Y VARELA",VILLA SOLDATI,8.0,24474.231,100.0
,PLAZOLETA,"RIVERA INDARTE - TABARE - ESTEVEZ, JOSE, ING.",VILLA SOLDATI,8.0,50.199,9998.0
,PLAZOLETA,"RIVERA INDARTE - TABARE - ESTEVEZ, JOSE, ING.",VILLA SOLDATI,8.0,42.206,3.0
,CANTERO CENTRAL,"EREZCANO, AV. E/ RABANAL, FRANCISCO, INT., AV. Y 27 DE FEBRERO, AV.",NUEVA POMPEYA,4.0,203.016,9990.0
,CANTERO CENTRAL,"EREZCANO, AV. E/ RABANAL, FRANCISCO, INT., AV. Y 27 DE FEBRERO, AV.",NUEVA POMPEYA,4.0,146.933,9990.0
MAXIMO MENA,CANTERO CENTRAL,"RABANAL, FRANCISCO, INT., AV. (EX ROCA, CNEL., AV.) E/ EREZCANO Y CHARRUA",NUEVA POMPEYA,4.0,4434.457,400.0
,CANTERO CENTRAL,"RABANAL, FRANCISCO, INT., AV. (EX ROCA, CNEL., AV.) E/ VEDIA, AGUSTIN DE Y CHARRUA",NUEVA POMPEYA,4.0,115.42,0.0
ISLAS CANARIAS,CANTERO CENTRAL,"RABANAL, FRANCISCO, INT., AV. (EX ROCA, CNEL., AV.) E/ VEDIA, AGUSTIN DE Y CHARRUA",NUEVA POMPEYA,4.0,5171.5340000000015,9700.0
,CANTERO CENTRAL,"RABANAL, FRANCISCO, INT., AV. (EX ROCA, CNEL., AV.) E/ VEDIA, AGUSTIN DE Y CHARRUA",NUEVA POMPEYA,4.0,89.01799999999999,1.0
,CANTERO CENTRAL,"RIESTRA, AV.  E/ MORENO, PERITO, AV. Y LAFUENTE, AV.",VILLA SOLDATI,8.0,77.209,3.0
ING. AGR. BENITO J. CARRASCO,PARQUE,"OBLIGADO, RAFAEL, AV. COSTANERA (MURALLON) -SALGUERO, JERONIMO, PROLONGACION IMAGINARIA - SARMIENTO, AV., PROLONGACION IMAGINARIA  - RIO DE LA PLATA",PALERMO,14.0,164879.673,0.0
,PLAZOLETA,GARMENDIA - OSORIO - AVALOS,PATERNAL,15.0,308.814,20.0
,CANTERO CENTRAL,"RIESTRA, AV.  E/ LAFUENTE, AV. Y ACOSTA, MARIANO",VILLA SOLDATI,8.0,1430.904,0.0
,PLAZOLETA,"MORENO, PERITO, AV. - LAFUENTE - CASTAÑARES, AV.",VILLA SOLDATI,8.0,4574.196,9900.0
,PLAZOLETA,"MORENO, PERITO, AV. - LAFUENTE - CASTAÑARES, AV.",VILLA SOLDATI,8.0,181.85,9990.0
,CANTERO CENTRAL,"ACOSTA, MARIANO  E/ MORENO, PERITO, AV. Y CASTAÑARES, AV.",VILLA SOLDATI,8.0,81.17399999999998,7.0
,CANTERO CENTRAL,"ACOSTA, MARIANO  E/ MORENO, PERITO, AV. Y CASTAÑARES, AV.",FLORES,7.0,2613.098,0.0
,CANTERO CENTRAL,"JANER, ANA M.  E/ LAFUENTE Y ACOSTA, MARIANO",VILLA SOLDATI,8.0,1297.634,0.0
,CANTERO CENTRAL,"RIESTRA, AV.  E/ LAFUENTE, AV. Y ACOSTA, MARIANO",VILLA SOLDATI,8.0,16.186,0.0
,PLAZOLETA,"CASTAÑARES, AV. - LAFUENTE, AV.",FLORES,7.0,977.272,50.0
PARQUE BRIG. GRAL. CORNELIO SAAVEDRA,PARQUE,"GARCIA DEL RIO, AV. - MELIAN, AV. - VILELA - PEREZ, ROQUE - BESARES - CONDE - PINTO - FREIRE, RAMON, CAP. GRAL.",SAAVEDRA,12.0,99134.61,1000.0
,CANTERO CENTRAL,"DELLEPIANE, LUIS J., TTE. GRAL., AV. E/ ACOSTA, MARIANO - LAFUENTE, AV. - QUIRNO Y PERON, EVA, AV.",FLORES,7.0,39.636,3.0
,CANTERO CENTRAL,"DELLEPIANE, LUIS J., TTE. GRAL., AV. E/ ACOSTA, MARIANO - LAFUENTE, AV. - QUIRNO Y PERON, EVA, AV.",FLORES,7.0,0.281,0.0
,CANTERO CENTRAL,"LAFUENTE, AV.  E/  BARROS PAZOS Y RIESTRA, AV.",VILLA SOLDATI,8.0,1427.7420000000004,0.0
,CANTERO CENTRAL,"VARELA  E/ MORENO, PERITO, AV. Y BARROS PAZOS,  JOSE (PROLONGACION IMAGINARIA)",VILLA SOLDATI,8.0,63.02,3.0
,PLAZOLETA,"MORENO, PERITO, AV. - LAFUENTE - CASTAÑARES, AV.",VILLA SOLDATI,8.0,727.6389999999999,10.0
PLAZA DE LA INTEGRACION LATINOAMERICANA,PLAZA,"MORENO, PERITO, AV. Y VARELA",FLORES,7.0,2295.939,0.0
,CANTERO CENTRAL,"FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV.  E/ LANZA Y DEL BARCO CENTENERA",NUEVA POMPEYA,4.0,1023.503,0.0
,CANTERO CENTRAL,"FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV.  E/ TILCARA Y DEL BAÑADO",NUEVA POMPEYA,4.0,62.822,3.0
PLAZA DR. JUAN B TERAN,PLAZA,"NOGOYA - GORDILLO, JOSE, CNEL. - MELINCUE - MARTINEZ, JUAN E.",VILLA REAL,10.0,15430.768,0.0
PARQUE FLORENTINO AMEGHINO,PARQUE,"CASEROS, AV. - SANTA CRUZ - USPALLATA - MONASTERIO",PARQUE PATRICIOS,4.0,30774.662,0.0
,CANTERO CENTRAL,"FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV.  E/ TILCARA Y DEL BAÑADO",NUEVA POMPEYA,4.0,173.19,0.0
,CANTERO CENTRAL,"FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV.  E/ GUAL Y LAS PALMAS",NUEVA POMPEYA,4.0,227.831,9990.0
PATIO FELIX LICEAGA,PLAZOLETA,CENTENERA - ZUVIRIA - AU 25 DE MAYO,PARQUE CHACABUCO,7.0,49.983,9997.0
,CANTERO CENTRAL,"PATRICIAS ARGENTINAS, AV. - MARECHAL, LEOPOLDO - DIAZ VELEZ, AV. - GALLARDO, ANGEL, AV. (CANTERO ADYACENTE PARQUE DEL CENTENARIO)",CABALLITO,6.0,114.61,0.0
,CANTERO CENTRAL,"PATRICIAS ARGENTINAS, AV. - MARECHAL, LEOPOLDO - DIAZ VELEZ, AV. - GALLARDO, ANGEL, AV. (CANTERO ADYACENTE PARQUE DEL CENTENARIO)",CABALLITO,6.0,73.311,7.0
