Nombre,Score,Reviews,Descripcion,Direccion,CLASE
PLAZOLETA DR. RODOLFO ERAUSQUIN,3.9,62.0,PARQUE,GANA 692,PLAZOLETAS
PLAZOLETA PORTUGAL,3.9,59.0,PARQUE,CRAMER 1600,PLAZOLETAS
PLAZOLETA GIACOMO PUCCINI,3.9,50.0,PARQUE,ERCILLA 6901,PLAZOLETAS
MADREA TERESA DE CALCUTA,3.9,36.0,,,
PLAZA ANGELA M. AIETA DE GULLO,3.9,11.0,JARDIN,DR. EDUARDO JENNER 955,JARDINES
PLAZA JOAQUIN SANCHEZ,3.9,9.0,PARQUE,JURAMENTO & VUELTA DE OBLIGADO,PLAZOLETAS
PLAZA EVARISTO CARRIEGO,3.9,8.0,PARQUE,CHARCAS 3352-3400,PLAZOLETAS
PLAZA CANADA,3.8,956.0,,,
PLAZOLETA BEATO LUIS GUANELLA,3.8,159.0,PARQUE,"6399, C1440CFY, ULRICO SCHMIDL 6301",PLAZOLETAS
PLAZOLETA LOS AMIGOS,3.8,122.0,PARQUE,"C1407IFD, HOMERO 102-166",PLAZOLETAS
JOSE E. URIBURU,3.8,87.0,,,
PLAZOLETA TARAS SHEVCHENKO,3.8,36.0,PARQUE,PERDRIEL,PLAZOLETAS
PLAZA POETA RICARDO E. LLERAS,3.8,21.0,,,
PLAZOLETA DEL ARBOL,3.8,20.0,PARQUE,CERRADO TEMPORALMENTE,PLAZOLETAS
IRENE BERNASCONI,3.8,10.0,,,
ADAN QUIROGA,3.8,9.0,PARQUE,AV. GUILLERMO UDAONDO 1462-1496,PLAZOLETAS
PLAZA DE LAS NACIONES UNIDAS,3.8,4.0,,,
PLAZOLETA EDUARDO OLIVERA,3.7,132.0,PARQUE,AV. LUIS MARIA CAMPOS 1601,PLAZOLETAS
PLAZOLETA RAYMUNDO GLEYZER,3.7,102.0,PARQUE,"1509, JUAN AGUSTIN GARCIA 1501",PLAZOLETAS
PLAZOLETA ALBERTO CASTILLO,3.7,60.0,PARQUE,,PLAZOLETAS
PLAZOLETA NIGERIA,3.7,19.0,PARQUE,AV. JUAN B. JUSTO 4736,PLAZOLETAS
FERNANDO GHIO,3.7,17.0,PARQUE,AV. CORONEL CARDENAS 2542-2600,PLAZOLETAS
JOSE DAMES,3.7,14.0,PARQUE,ESQUIU 1101-1169,PLAZOLETAS
PLAZOLETA VICENTE CHAS,3.7,6.0,PARQUE LOCAL,,PLAZOLETAS
PLAZOLETA JUVENILLA,3.7,6.0,PARQUE,CERRADO TEMPORALMENTE,PLAZOLETAS
PLAZOLETA 28 DE JUNIO DE 1645,3.7,6.0,PARQUE LOCAL,,PLAZOLETAS
PLAZA DE LA CONSTITUCION,3.6,20619.0,,,
PLAZOLETA DR. SALVADOR MAZZA,3.6,47.0,PARQUE,PEDRO LOZANO 5019,PLAZOLETAS
PLAZA ELOY ALFARO,3.6,43.0,PARQUE,,PLAZOLETAS
BUENOS AIRES POLO CIRCO,3.5,1057.0,,,
PLAZOLETA ANTONIO ABRAHAM ZINNY,3.5,54.0,PARQUE,CERRADO TEMPORALMENTE,PLAZOLETAS
PLAZA HUGO RICARDO CORRADI,3.5,8.0,PARQUE,,PLAZOLETAS
BASE MARAMBIO,3.5,8.0,PARQUE,AV. PATRICIAS ARGENTINAS 400,PLAZOLETAS
PLAZOLETA MAIMONIDES,3.5,4.0,PARQUE,CERRADO TEMPORALMENTE,PLAZOLETAS
PLAZOLETA BRIG. GRAL. TOMAS DE IRIARTE,3.5,4.0,PARQUE,CERRADO TEMPORALMENTE,PLAZOLETAS
PADRE GASPAR CAÑADA,3.5,4.0,PARQUE LOCAL,,PLAZOLETAS
PLAZOLETA TTE. DE NAVIO CANDIDO DE LASALA,3.5,2.0,PARQUE,CERRADO TEMPORALMENTE,PLAZOLETAS
PLAZOLETA BOEDO,3.5,2.0,PARQUE,CERRADO TEMPORALMENTE,PLAZOLETAS
HECTOR GRESLEBIN,3.4,7.0,PARQUE,AV. PATRICIAS ARGENTINAS 822,PLAZOLETAS
PLAZOLETA ESTHER BALLESTRINO DE CAREAGA,3.4,5.0,PARQUE,CERRADO TEMPORALMENTE,PLAZOLETAS
PLAZA GUMERSINDO GONZALEZ,3.3,8.0,,,
PLAZOLETA DE LOS VECINOS SENSIBLES,3.3,4.0,PARQUE,CERRADO TEMPORALMENTE,PLAZOLETAS
LEON FONTOVA,3.2,10.0,PARQUE,MEDINA 102-120,PLAZOLETAS
PLAZA DE LOS VIRREYES - TUPAC  AMARU,3.1,150.0,,,
PLAZOLETA DR. NORBERTO PIÑERO,3.0,2.0,PARQUE,"7400,, AV. EMILIO CASTRO 7354",PLAZOLETAS
PLAZOLETA SAAVEDRA,3.0,1.0,PARQUE,"AV. SAN ISIDRO LABRADOR, PICO Y",PLAZOLETAS
PLAZOLETA SAN VLADIMIRO,2.5,2.0,PARQUE,CERRADO TEMPORALMENTE,PLAZOLETAS
JULIO DIMILTA,1.0,2.0,PARQUE,AV. PERITO MORENO 3,PLAZOLETAS
PLAZOLETA CARLOS GARDEL,1.0,1.0,PARQUE LOCAL,,PLAZOLETAS
PLAZOLETA SHAFIK KHANDAL,1.0,1.0,PARQUE,JOSE C. PAZ 3029,PLAZOLETAS
JARDIN JAPONES,,71524.0,PARQUE,"EWN, AV. CASARES 3450",PARQUES SEMI PUBLICO
RESERVA ECOLOGICA COSTANERA SUR,,61639.0,RESERVA NATURAL,,PARQUES SEMI PUBLICO
PARQUE RIVADAVIA,,37080.0,PARQUE,AV. RIVADAVIA 4950,PARQUES
PLAZA DEL CONGRESO,,36296.0,PARQUE,·,PLAZAS
JARDIN BOTANICO CARLOS THAYS,,34699.0,JARDIN BOTANICO,,PARQUES SEMI PUBLICO
PASEO EL ROSEDAL,,33945.0,JARDIN,·,PATIOS
PARQUE LEZAMA,,32412.0,PARQUE,AV. BRASIL,PARQUES
PARQUE LAS HERAS,,28846.0,PARQUE,FRENCH,PARQUES
PARQUE DE LOS NIÑOS,,27822.0,PARQUE LOCAL,"INT, CDAD. DE LA PAZ",PLAZAS
PLAZA MISERERE,,25582.0,PARQUE,·,PLAZAS
BOSQUES DE PALERMO,,22962.0,PARQUE,AV. INFANTA ISABEL 410,PARQUES
PLAZA CONSTITUCION,,20581.0,PARQUE LOCAL,LIMA 1563-1569,PARQUES SEMI PUBLICO
PLAZA GENERAL SAN MARTIN,,19091.0,PARQUE,·,PLAZAS
PLAZA IRLANDA,,18614.0,PARQUE,AV. GAONA,PARQUES
PLAZA INMIGRANTES DE ARMENIA,,14041.0,PARQUE,·,PLAZAS
PARQUE LOS ANDES,,12148.0,PARQUE,AV. JORGE NEWBERY,PARQUES
PLAZA DR. BENJAMIN A. GOULD,,11322.0,PARQUE,AV. SARMIENTO S/N,PARQUES
PLAZA ALMAGRO,,10462.0,PARQUE,"SARMIENTO Y, BULNES S/N",PLAZAS
